ID,title,price,state,remarke,last
4381801,ソードアート・オンライン アクリルマスコット 京都ver. アリス・シンセシス・サーティ(アリス・ツーベルク),"3,300円",未開封,,1点
4397674,ソードアート・オンライン アリシゼーション -After War- イベント描き下ろしアクリルスタンド アスナ(結城明日奈),"2,420円",未開封,,1点
4401760,ソードアート・オンライン アリシゼーション War of Underworld アスナ 《創世神ステイシア》 【ANIPLEX+限定】 【フィギュア】[ANIPLEX],"18,260円",未開封,箱イタミ,1点
4274297,劇場版 ソードアート・オンライン -オーディナル・スケール- ぬーどるストッパーフィギュア -シリカ-,550円,未開封,,
4326000,ソードアート・オンライン アリシゼーション  War of Underworld ESPRESTO est-Dressy and motions- 太陽神ソルス シノン,"1,320円",未開封,,1点
4332664,ソードアート・オンライン アリシゼーション リコリス ESPRESTO -Clear materials- アスナ 添い寝ver.,880円,未開封,,
4227732,ソードアート・オンライン メモリー・デフラグ ESPRESTO-Sweet skin- ～ミッドナイト・ドリーム ユウキ～,990円,未開封,,1点
2316875,ソードアート・オンライン アリシゼーション EXQフィギュア ～キリト&ユージオ(ユージオ・シンセシス・サーティツー)～ ユージオ(ユージオ・シンセシス・サーティツー),"1,980円",未開封,,1点
1359963,劇場版 ソードアート・オンライン -オーディナルスケール- オーディナルスケールスペシャルフィギュア -アスナ-,"1,045円",未開封,,1点
3152953,ソードアート・オンライン メモリー・デフラグ EXQフィギュア ～アスナ 帰還者学校制服ver.～ アスナ(結城明日奈),880円,未開封,,
1617101,ソードアート・オンライン コード・レジスタ EXQフィギュア ～ブルーマリンアスナ～,"1,320円",未開封,,
3737995,ソードアート・オンライン アリシゼーション War of Underworld 描き下ろしアクリルスタンド キリト(桐ヶ谷和人) F,836円,未開封,,1点
3872413,電撃文庫 FIGHTING CLIMAX ハイグレードフィギュア ソードアート・オンライン キリト,"2,200円",未開封,箱イタミ、テープ剥がれあり,1点
4432281,ソードアート・オンライン アリシゼーション  War of Underworld ESPRESTO est-Dressy and motions- 創世神ステイシア アスナ,"2,420円",未開封,ゲームセンターのフックが取り付けられています,1点
4432634,ソードアート・オンライン アリシゼーション War of Underworld ひっかけフィギュア -三女神- 創世神ステイシア アスナ(結城明日奈),880円,未開封,,1点
4432635,ソードアート・オンライン アリシゼーション War of Underworld ひっかけフィギュア -三女神- 地神テラリア リーファ(桐ヶ谷直葉),660円,未開封,,1点
4429763,劇場版 ソードアート・オンライン -プログレッシブ- 星なき夜のアリア SSSフィギュア -アスナ/プログレッシブ-,"1,430円",未開封,,1点
